slug	name	package_group	attack_category	packages	description	url
traceroute	traceroute	utils		traceroute,lft.db,tcptraceroute.db,traceproto.db,traceroute-nanog,traceroute.db,traceroute6.db	Traces the route taken by packets over an IPv4/IPv6 network The traceroute utility displays the route used by IP packets on their way to a specified network (or Internet) host. Traceroute displays the IP number and host name (if possible) of the machines along the route taken by the packets. Traceroute is used as a network debugging tool. If you’re having network connectivity problems, traceroute will show you where the trouble is coming	https://www.kali.org/tools/traceroute/
tree	tree	passwords		tree,tree	Displays an indented directory tree, in color Tree is a recursive directory listing command that produces a depth indented listing of files, which is colorized ala dircolors if the LS_COLORS environment variable is set and output is to tty.	https://www.kali.org/tools/tree/
trivy	trivy	utils		trivy,trivy	Comprehensive and versatile security scanner This package contains a comprehensive and versatile security scanner. Trivy has scanners that look for security issues, and targets where it can find those issues. It can find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more.	https://www.kali.org/tools/trivy/
truecrack	truecrack	passwords	凭据访问	truecrack,truecrack	Bruteforce password cracker for TrueCrypt volumes TrueCrack is a bruteforce password cracker for TrueCrypt (Copyright) volume. It is optimazed with Nvidia Cuda technology. It works with PBKDF2 (defined in PKCS5 v2.0) based on RIPEMD160 Key derivation function and XTS block cipher mode of operation	https://www.kali.org/tools/truecrack/
trufflehog	trufflehog	utils	凭据访问	trufflehog,trufflehog	Searches through git repositories for secrets This package contains a utitlity to search through git repositories for secrets, digging deep into commit history and branches. This is effective at finding secrets accidentally committed.	https://www.kali.org/tools/trufflehog/
tundeep	tundeep	utils		tundeep,tundeep	Layer 2 VPN/injection tool The tool resides [almost] entirely in user space on the victim aside from the pcap requirement.	https://www.kali.org/tools/tundeep/
twofi	twofi	information-gathering	凭据访问	twofi,twofi	Twitter words of interest When attempting to crack passwords custom word lists are very useful additions to standard dictionaries. An interesting idea originally released on the “7 Habits of Highly Effective Hackers” blog was to use Twitter to help generate those lists based on searches for keywords related	https://www.kali.org/tools/twofi/
tzdata	tzdata	information-gathering		tzdata,tzdata-legacy	Time zone and daylight-saving time data This package contains data required for the implementation of standard local time for many representative locations around the globe. It is updated periodically to reflect changes made by political bodies to time zone boundaries, UTC offsets, and daylight-saving rules.	https://www.kali.org/tools/tzdata/
ubertooth	ubertooth	wireless	侦察	libubertooth-dev,libubertooth1,ubertooth,ubertooth-afh,ubertooth-btbr,ubertooth-btle,ubertooth-debug,ubertooth-dfu,ubertooth-ducky,ubertooth-dump,ubertooth-ego,ubertooth-follow,ubertooth-rx,ubertooth-scan,ubertooth-specan,ubertooth-specan-ui,ubertooth-util,ubertooth-firmware,ubertooth-firmware-source	2.4 GHz wireless development platform for Bluetooth experimentation Project Ubertooth is an open source wireless development platform suitable for Bluetooth experimentation. This package contains everything necessary to use the hardware dongle. Ubertooth is capable of sniffing BLE (Bluetooth Smart) connections and it also has some ability to sniff some data from Basic Rate (BR) Bluetooth Classic	https://www.kali.org/tools/ubertooth/
udptunnel	udptunnel	post-exploitation	命令与控制	udptunnel,udptunnel	Tunnel UDP packets over a TCP connection UDPTunnel is a small program which can tunnel UDP packets bi-directionally over a TCP connection. Its primary purpose (and original motivation) is to allow multi-media conferences to traverse a firewall which allows only outgoing TCP connections. UDPTunnel also can be used for security tests in networks.	https://www.kali.org/tools/udptunnel/
uhd	uhd	wireless		libuhd-dev,libuhd4.9.0,libuhd4.9.0-dpdk,libuhd4.9.0-dpdk-tests,python3-uhd,uhd-doc,uhd-host,rfnoc_image_builder,rfnoc_modtool,uhd_adc_self_cal,uhd_cal_rx_iq_balance,uhd_cal_tx_dc_offset,uhd_cal_tx_iq_balance,uhd_config_info,uhd_find_devices,uhd_image_loader,uhd_images_downloader,uhd_usrp_probe,usrp2_card_burner,usrpctl,uhd-rfnoc-dev	Universal hardware driver for Ettus Research products - headers Host library for the Universal Hardware Driver for Ettus Research products. The supported devices provide analog radio receiver and transmitter hardware along with digital interfaces for getting signals to and from a software defined radio running on the host computer. This package contains the header files for developing with libuhd.	https://www.kali.org/tools/uhd/
uhd-images	uhd-images	wireless		uhd-images	Various UHD Images Various UHD Images	https://www.kali.org/tools/uhd-images/
unar	unar	forensics		unar,lsar,unar	Unarchiver for a variety of file formats The Unarchiver is an archive unpacker program with support for the popular zip, RAR, 7z, tar, gzip, bzip2, LZMA, XZ, CAB, MSI, NSIS, EXE, ISO, BIN, and split file formats, as well as the old Stuffit, Stuffit X, DiskDouble, Compact Pro, Packit, cpio, compress (.Z), ARJ, ARC, PAK, ACE, ZOO, LZH, ADF, DMS, LZX, PowerPacker, LBR, Squeeze, Crunch, and other old formats.	https://www.kali.org/tools/unar/
unblob	unblob	utils		unblob,unblob	Accurate, fast, and easy-to-use extraction suite (Python 3) This package contains an accurate, fast, and easy-to-use extraction suite. It parses unknown binary blobs for more than 30 different archive, compression, and file-system formats, extracts their content recursively, and carves out unknown chunks that have not been accounted for. This package installs the library for Python 3.	https://www.kali.org/tools/unblob/
undbx	undbx	forensics	数字取证	undbx,undbx	Tool to extract, recover and undelete e-mail messages from .dbx files UnDBX is a tool to extract, recover and undelete e-mail messages from MS Outlook Express .dbx files (or similar e-mail programs in MS Windows). Corrupted .dbx files can be parsed to try to recover messages from it. It can also try to undelete messages, not only from Deleted Items but also from fragments of deleted messages that were not overwritten.	https://www.kali.org/tools/undbx/
unhide	unhide	forensics	数字取证	unhide,unhide,unhide-linux,unhide-posix,unhide-tcp,unhide_rb,unhide-gui,unhide-gui	Forensic tool to find hidden processes and ports Unhide is a forensic tool to find processes and TCP/UDP ports hidden by rootkits, Linux kernel modules or by other techniques. It includes two utilities: unhide and unhide-tcp. unhide detects hidden processes using the following six techniques: Compare /proc vs /bin/ps output	https://www.kali.org/tools/unhide/
unhide.rb	unhide.rb	utils		unhide.rb,unhide.rb	Forensics tool to find processes hidden by rootkits Unhide.rb is a forensics tool to find processes hidden by rootkits. It looks for active processes in many different ways. Processes found by some means but not others are considered to be “hidden”, and are reported to the user. Unhide.rb is a tentative of rewrite in Ruby of the original Unhide, which	https://www.kali.org/tools/unhide.rb/
unicorn-magic	unicorn-magic	web		unicorn-magic,unicorn-magic	Tool for a PowerShell downgrade attack and inject shellcode This package contains a simple tool for using a PowerShell downgrade attack and inject shellcode straight into memory. Based on Matthew Graeber’s powershell attacks and the powershell bypass technique presented by David Kennedy (TrustedSec) and Josh Kelly at Defcon 18. Usage is simple, just run Magic Unicorn (ensure Metasploit is installed and in	https://www.kali.org/tools/unicorn-magic/
unicornscan	unicornscan	information-gathering	侦察	unicornscan,fantaip,unibrow,unicfgtst,unicornscan,us	Userland distributed TCP/IP stack Unicornscan is a new information gathering and correlation engine built for and by members of the security research and testing communities. It was designed to provide an engine that is Scalable, Accurate, Flexible, and Efficient. It is released for the community to use under the terms of the GPL license. Benefits:	https://www.kali.org/tools/unicornscan/
uniscan	uniscan	web	侦察	uniscan,uniscan,uniscan-gui	LFI, RFI, and RCE vulnerability scanner Uniscan is a simple Remote File Include, Local File Include and Remote Command Execution vulnerability scanner.	https://www.kali.org/tools/uniscan/
unix-privesc-check	unix-privesc-check	vulnerability	权限提升	unix-privesc-check,unix-privesc-check	Script to check for simple privilege escalation vectors Unix-privesc-checker is a script that runs on Unix systems (tested on Solaris 9, HPUX 11, Various Linuxes, FreeBSD 6.2). It tries to find misconfigurations that could allow local unprivileged users to escalate privileges to other users or to access local apps (e.g. databases).	https://www.kali.org/tools/unix-privesc-check/
unrar-nonfree	unrar-nonfree	forensics		libunrar-dev,libunrar-headers,libunrar5t64,unrar,unrar-nonfree	Extract files from rar archives root@kali:~# man unrar-nonfree UNRAR(1)                          RAR archiver                         UNRAR(1) NAME unrar - extract files from rar archives SYNOPSIS	https://www.kali.org/tools/unrar-nonfree/
upx-ucl	upx-ucl	exploitation		upx-ucl,upx-ucl	Efficient live-compressor for executables UPX is an advanced executable file compressor. UPX will typically reduce the file size of programs and DLLs by around 50%-70%, thus reducing disk space, network load times, download times etc. The current version can compress executables for DOS, Linux/ELF (i386, amd64, ppc32) and some other files for different OS.	https://www.kali.org/tools/upx-ucl/
